fuck you,3
you are a momy's baby,2
fat boy,2
kiss my ass,3
gay,2
you are a nerd ,2
how are you looser ,1
You are ugly,2
You are stupid,3
You are worthless,2
You are not cool,1
You are a loser,2
I hate you,2
ugly cow ,3
go kill yourself ,3
fat pig ,3
dumb slut,3
you are so disgusting ,2
everybody hates you,3
you are so dumb ,2
fuck u ,3
u are a fatttt babiiie,2
fck u,3
go home ,1
you have no friends,2
are you the most fat guy in the class?,2
"hello, how, are ,you?",0
i'm fine. And you?,0
good,0
what are you doing?,0
i'm at home,0
how is it going?,0
what is the plan for today,0
he is my friend,0
i love you,0
do you know him,0
i like you,0
go to play bskt,0
check the new app,0
near from here,0
how i get to you home?,0
where is my computer,0
my dad is good,0
mom is working,0
we are interns,0
see you,0
lots of love,0
hahaha,0
sure man,0
do you join?,0
yea i come ,0
